Home Team,Away Team
1. FC Union Berlin,SV Werder Bremen
Borussia Mönchengladbach,TSG 1899 Hoffenheim
RB Leipzig,FC Bayern München
Borussia Dortmund,VfL Wolfsburg
FC Augsburg,Holstein Kiel
SC Freiburg,Bayer 04 Leverkusen
1. FSV Mainz 05,Eintracht Frankfurt
VfL Wolfsburg,TSG 1899 Hoffenheim
Holstein Kiel,SC Freiburg
VfL Bochum 1848,1. FSV Mainz 05
1. FC Union Berlin,1. FC Heidenheim 1846
SV Werder Bremen,RB Leipzig
FC Bayern München,Borussia Mönchengladbach
Bayer 04 Leverkusen,Borussia Dortmund
Eintracht Frankfurt,FC St. Pauli 1910
VfB Stuttgart,FC Augsburg
FC St. Pauli 1910,VfL Bochum 1848
Borussia Mönchengladbach,VfL Wolfsburg
1. FSV Mainz 05,Bayer 04 Leverkusen
FC Augsburg,1. FC Union Berlin
SC Freiburg,Eintracht Frankfurt
1. FC Heidenheim 1846,SV Werder Bremen
TSG 1899 Hoffenheim,FC Bayern München
Borussia Dortmund,Holstein Kiel
RB Leipzig,VfB Stuttgart
